actual_layers,layers,neurons,optimizers,learning rate,accuracy
5,3,45,RMSprop,0.0010000000474974513,0.0
4,2,69,sgd,0.009999999776482582,0.0
4,2,151,adam,0.0010000000474974513,0.17972350244148536
3,1,124,RMSprop,0.0010000000474974513,0.732718897305326
7,5,103,adam,0.0010000000474974513,0.11520737296287914
8,6,381,sgd,0.009999999776482582,0.0
9,7,145,Adagrad,0.009999999776482582,0.5299539158146502
12,10,873,Adadelta,1.0,0.6589861784113168
4,2,125,Adadelta,1.0,0.6866359479965702
3,1,109,Adadelta,1.0,0.35023041639459845
4,2,71,Adagrad,0.009999999776482582,0.8341013838618582
9,7,173,sgd,0.009999999776482582,0.0
7,5,458,Adadelta,1.0,0.03686635934400119
8,6,333,adam,0.0010000000474974513,0.5345622097841606
6,4,409,sgd,0.009999999776482582,0.0
11,9,96,Adadelta,1.0,0.027649769482250036
4,2,139,sgd,0.009999999776482582,0.0
7,5,478,RMSprop,0.0010000000474974513,0.7511520726340157
9,7,432,Adadelta,1.0,0.027649769482250036
10,8,777,Adadelta,1.0,0.0
11,9,321,Adadelta,1.0,0.14746543737600476
3,1,55,sgd,0.009999999776482582,0.0
4,2,171,Adagrad,0.009999999776482582,0.9861751152073732
9,7,439,Adagrad,0.009999999776482582,0.9585253456221198
4,2,87,Adagrad,0.009999999776482582,0.967741935483871
12,10,513,Adagrad,0.009999999776482582,0.7188940105899688
8,6,159,adam,0.0010000000474974513,0.3594470062563496
9,7,404,Adagrad,0.009999999776482582,0.8986175109713858
10,8,153,sgd,0.009999999776482582,0.0
7,5,98,Adagrad,0.009999999776482582,0.253456220786143
